0x007,0x001,0x002,0x003,0x004,0x005,0x006,0x007,0x008
0.00000,1.57079,1.57079,0.78540,1.30899,-0.78540,-1.30899,0.00000,0.00000,
0.00000,1.57079,1.57079,0.78540,1.30899,-0.78540,-1.30899,0.00000,0.00000,
-0.00001,1.57080,1.57078,0.78539,1.30900,-0.78535,-1.30902,0.00001,0.00001,
-0.00009,1.57089,1.57072,0.78538,1.30909,-0.78501,-1.30920,0.00006,0.00006,
-0.00031,1.57111,1.57055,0.78533,1.30931,-0.78413,-1.30968,0.00020,0.00020,
-0.00071,1.57154,1.57023,0.78525,1.30972,-0.78246,-1.31058,0.00047,0.00047,
-0.00135,1.57221,1.56972,0.78512,1.31038,-0.77982,-1.31201,0.00089,0.00089,
-0.00228,1.57319,1.56899,0.78492,1.31132,-0.77601,-1.31406,0.00149,0.00149,
-0.00353,1.57452,1.56800,0.78467,1.31259,-0.77090,-1.31683,0.00231,0.00231,
-0.00514,1.57622,1.56672,0.78433,1.31422,-0.76434,-1.32038,0.00335,0.00335,
-0.00715,1.57834,1.56513,0.78392,1.31623,-0.75623,-1.32476,0.00464,0.00464,
-0.00957,1.58090,1.56321,0.78342,1.31865,-0.74649,-1.33002,0.00619,0.00619,
-0.01243,1.58391,1.56095,0.78283,1.32149,-0.73507,-1.33619,0.00801,0.00801,
-0.01574,1.58741,1.55833,0.78214,1.32475,-0.72192,-1.34330,0.01011,0.01011,
-0.01951,1.59139,1.55535,0.78136,1.32845,-0.70701,-1.35136,0.01248,0.01248,
-0.02376,1.59588,1.55199,0.78049,1.33259,-0.69035,-1.36037,0.01514,0.01514,
-0.02848,1.60086,1.54825,0.77951,1.33716,-0.67195,-1.37031,0.01807,0.01807,
-0.03367,1.60635,1.54414,0.77844,1.34215,-0.65183,-1.38119,0.02127,0.02127,
-0.03934,1.61233,1.53965,0.77726,1.34756,-0.63005,-1.39296,0.02474,0.02474,
-0.04548,1.61881,1.53479,0.77600,1.35336,-0.60666,-1.40560,0.02846,0.02846,
-0.05207,1.62577,1.52957,0.77463,1.35955,-0.58174,-1.41907,0.03243,0.03243,
-0.05911,1.63320,1.52400,0.77318,1.36610,-0.55538,-1.43332,0.03663,0.03663,
-0.06657,1.64109,1.51809,0.77164,1.37298,-0.52766,-1.44831,0.04104,0.04104,
-0.07445,1.64941,1.51186,0.77001,1.38017,-0.49869,-1.46396,0.04566,0.04566,
-0.08272,1.65814,1.50531,0.76830,1.38764,-0.46859,-1.48023,0.05045,0.05045,
-0.09136,1.66727,1.49847,0.76651,1.39536,-0.43749,-1.49704,0.05540,0.05540,
-0.10036,1.67676,1.49135,0.76466,1.40330,-0.40551,-1.51433,0.06050,0.06050,
-0.10967,1.68659,1.48398,0.76273,1.41142,-0.37279,-1.53201,0.06571,0.06571,
-0.11928,1.69674,1.47637,0.76074,1.41970,-0.33947,-1.55002,0.07101,0.07101,
-0.12916,1.70717,1.46855,0.75870,1.42808,-0.30571,-1.56828,0.07639,0.07639,
-0.13928,1.71786,1.46054,0.75661,1.43654,-0.27163,-1.58669,0.08182,0.08182,
-0.14961,1.72877,1.45236,0.75448,1.44503,-0.23741,-1.60519,0.08727,0.08727,
-0.16012,1.73987,1.44404,0.75230,1.45353,-0.20319,-1.62369,0.09272,0.09272,
-0.17079,1.75113,1.43560,0.75010,1.46199,-0.16911,-1.64211,0.09814,0.09814,
-0.18157,1.76252,1.42706,0.74787,1.47037,-0.13535,-1.66036,0.10352,0.10352,
-0.19245,1.77400,1.41845,0.74562,1.47864,-0.10203,-1.67837,0.10883,0.10883,
-0.20338,1.78555,1.40980,0.74336,1.48677,-0.06931,-1.69605,0.11404,0.11404,
-0.21434,1.79712,1.40112,0.74110,1.49471,-0.03733,-1.71334,0.11913,0.11913,
-0.22531,1.80870,1.39244,0.73883,1.50243,-0.00623,-1.73015,0.12408,0.12408,
-0.23624,1.82025,1.38379,0.73657,1.50990,0.02387,-1.74642,0.12888,0.12888,
-0.24712,1.83173,1.37518,0.73432,1.51709,0.05284,-1.76208,0.13349,0.13349,
-0.25792,1.84313,1.36663,0.73209,1.52397,0.08056,-1.77706,0.13790,0.13790,
-0.26861,1.85442,1.35817,0.72988,1.53052,0.10692,-1.79131,0.14210,0.14210,
-0.27916,1.86557,1.34981,0.72770,1.53671,0.13184,-1.80478,0.14607,0.14607,
-0.28957,1.87656,1.34158,0.72555,1.54251,0.15523,-1.81742,0.14979,0.14979,
-0.29980,1.88736,1.33347,0.72344,1.54792,0.17701,-1.82919,0.15326,0.15326,
-0.30985,1.89797,1.32552,0.72136,1.55291,0.19712,-1.84007,0.15647,0.15647,
-0.31969,1.90836,1.31773,0.71933,1.55748,0.21553,-1.85001,0.15940,0.15940,
-0.32932,1.91853,1.31011,0.71734,1.56162,0.23219,-1.85902,0.16205,0.16205,
-0.33872,1.92845,1.30267,0.71540,1.56532,0.24710,-1.86708,0.16442,0.16442,
-0.34789,1.93813,1.29542,0.71350,1.56858,0.26025,-1.87419,0.16652,0.16652,
-0.35682,1.94757,1.28834,0.71165,1.57142,0.27167,-1.88036,0.16834,0.16834,
-0.36552,1.95675,1.28146,0.70986,1.57384,0.28141,-1.88562,0.16989,0.16989,
-0.37398,1.96569,1.27476,0.70811,1.57585,0.28951,-1.89001,0.17118,0.17118,
-0.38223,1.97440,1.26823,0.70640,1.57748,0.29607,-1.89355,0.17222,0.17222,
-0.39026,1.98288,1.26187,0.70474,1.57875,0.30119,-1.89632,0.17304,0.17304,
-0.39810,1.99116,1.25567,0.70312,1.57969,0.30500,-1.89838,0.17364,0.17364,
-0.40576,1.99925,1.24960,0.70154,1.58035,0.30764,-1.89980,0.17407,0.17407,
-0.41327,2.00718,1.24366,0.69999,1.58076,0.30931,-1.90070,0.17433,0.17433,
-0.42067,2.01499,1.23780,0.69846,1.58098,0.31019,-1.90118,0.17447,0.17447,
-0.42797,2.02270,1.23202,0.69695,1.58106,0.31052,-1.90136,0.17453,0.17453,
-0.43523,2.03037,1.22627,0.69545,1.58108,0.31057,-1.90139,0.17453,0.17453,
-0.44251,2.03806,1.22051,0.69394,1.58111,0.31071,-1.90146,0.17455,0.17455,
-0.44980,2.04580,1.21470,0.69243,1.58111,0.31077,-1.90149,0.17452,0.17452,
-0.45711,2.05363,1.20883,0.69090,1.58104,0.31070,-1.90142,0.17440,0.17440,
-0.46444,2.06159,1.20287,0.68934,1.58089,0.31043,-1.90123,0.17416,0.17416,
-0.47180,2.06970,1.19679,0.68775,1.58062,0.30992,-1.90088,0.17376,0.17376,
-0.47919,2.07800,1.19057,0.68613,1.58021,0.30911,-1.90035,0.17317,0.17317,
-0.48663,2.08650,1.18419,0.68446,1.57965,0.30798,-1.89960,0.17238,0.17238,
-0.49411,2.09522,1.17765,0.68276,1.57892,0.30648,-1.89862,0.17135,0.17135,
-0.50163,2.10418,1.17094,0.68100,1.57801,0.30460,-1.89738,0.17008,0.17008,
-0.50920,2.11338,1.16404,0.67920,1.57690,0.30231,-1.89588,0.16854,0.16854,
-0.51682,2.12283,1.15696,0.67735,1.57559,0.29960,-1.89411,0.16674,0.16674,
-0.52449,2.13253,1.14969,0.67546,1.57407,0.29645,-1.89206,0.16465,0.16465,
-0.53220,2.14246,1.14224,0.67351,1.57233,0.29286,-1.88973,0.16229,0.16229,
-0.53996,2.15264,1.13461,0.67152,1.57038,0.28883,-1.88711,0.15965,0.15965,
-0.54777,2.16304,1.12682,0.66948,1.56821,0.28437,-1.88420,0.15673,0.15673,
-0.55561,2.17365,1.11886,0.66741,1.56583,0.27948,-1.88102,0.15353,0.15353,
-0.56349,2.18447,1.11076,0.66529,1.56323,0.27417,-1.87757,0.15007,0.15007,
-0.57141,2.19546,1.10252,0.66314,1.56042,0.26845,-1.87386,0.14635,0.14635,
-0.57935,2.20661,1.09416,0.66096,1.55741,0.26235,-1.86990,0.14238,0.14238,
-0.58733,2.21790,1.08569,0.65875,1.55421,0.25589,-1.86570,0.13818,0.13818,
-0.59532,2.22930,1.07715,0.65652,1.55082,0.24908,-1.86129,0.13377,0.13377,
-0.60333,2.24078,1.06854,0.65427,1.54725,0.24196,-1.85667,0.12915,0.12915,
-0.61135,2.25232,1.05989,0.65201,1.54352,0.23456,-1.85186,0.12435,0.12435,
-0.61938,2.26389,1.05121,0.64974,1.53963,0.22690,-1.84689,0.11940,0.11940,
-0.62740,2.27547,1.04254,0.64748,1.53561,0.21902,-1.84178,0.11430,0.11430,
-0.63542,2.28700,1.03389,0.64522,1.53145,0.21095,-1.83655,0.10908,0.10908,
-0.64342,2.29848,1.02529,0.64298,1.52718,0.20273,-1.83122,0.10377,0.10377,
-0.65140,2.30986,1.01676,0.64075,1.52281,0.19439,-1.82581,0.09838,0.09838,
-0.65936,2.32111,1.00832,0.63855,1.51836,0.18597,-1.82035,0.09295,0.09295,
-0.66729,2.33220,1.00001,0.63638,1.51383,0.17752,-1.81487,0.08749,0.08749,
-0.67517,2.34310,0.99184,0.63424,1.50926,0.16905,-1.80938,0.08203,0.08203,
-0.68301,2.35377,0.98384,0.63215,1.50465,0.16063,-1.80392,0.07659,0.07659,
